epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,8411.69,0.89828,0.43844,1.09357,0.97785,0.97989,0.98933,0.71765,1.0018,0.37344,1.19511,0.000505,0.000505,0.000505
77,8520.29,0.87731,0.43437,1.10046,0.97737,0.97965,0.98927,0.73163,0.95267,0.35776,1.18298,0.0004984,0.0004984,0.0004984
78,8630.32,0.8857,0.43652,1.09691,0.98486,0.97823,0.98897,0.67786,1.12244,0.41156,1.26618,0.0004918,0.0004918,0.0004918
79,8739.94,0.89641,0.4469,1.10201,0.98558,0.97331,0.98724,0.73187,0.93249,0.36442,1.16417,0.0004852,0.0004852,0.0004852
80,8850.47,0.89462,0.44474,1.10799,0.97804,0.97833,0.98864,0.66263,1.16759,0.41875,1.2967,0.0004786,0.0004786,0.0004786
81,8959.83,0.88467,0.43389,1.09542,0.98065,0.98394,0.98806,0.74501,0.90679,0.33852,1.14824,0.000472,0.000472,0.000472
82,9068.74,0.8638,0.42409,1.08576,0.98681,0.97021,0.98781,0.75722,0.85628,0.33962,1.12775,0.0004654,0.0004654,0.0004654
83,9178.8,0.86441,0.42562,1.08556,0.98458,0.97836,0.98737,0.75181,0.88834,0.34377,1.14692,0.0004588,0.0004588,0.0004588
84,9287.79,0.87804,0.44306,1.08937,0.98906,0.97731,0.98985,0.69097,1.09796,0.38981,1.24963,0.0004522,0.0004522,0.0004522
85,9397.83,0.87052,0.43043,1.08812,0.98416,0.97835,0.98763,0.74482,0.9066,0.34938,1.15711,0.0004456,0.0004456,0.0004456
86,9506.65,0.8907,0.43026,1.09049,0.98184,0.97494,0.98948,0.72012,0.97206,0.37153,1.18672,0.000439,0.000439,0.000439
87,9615.5,0.86177,0.42336,1.08853,0.98905,0.97645,0.98746,0.71087,1.00785,0.36663,1.21546,0.0004324,0.0004324,0.0004324
